provider,model,language,acoustic_profile,dataset,wer,wer_delta_vs_clean_librispeech,latency_delta_vs_clean_librispeech,rtf_delta_vs_clean_librispeech,domain_robustness_note
aws_cloud,standard,en-US,crowdsourced_mobile,fleurs_en_us_test_subset,0.09090909091,0.08692502716,-1269.201887,-0.5377903796,positive delta indicates degradation versus clean LibriSpeech
aws_cloud,standard,fr-FR,crowdsourced_mobile,fleurs_fr_fr_test_subset,0.04237288136,0.03838881761,179.1472619,-0.4170440038,positive delta indicates degradation versus clean LibriSpeech
aws_cloud,standard,ja-JP,crowdsourced_mobile,fleurs_ja_jp_test_subset,0.9714285714,0.9674445077,186.7357607,-0.8486163271,positive delta indicates degradation versus clean LibriSpeech
aws_cloud,standard,sk-SK,crowdsourced_mobile,fleurs_sk_sk_test_subset,0.08974358974,0.085759526,-1080.519791,-0.4875499848,positive delta indicates degradation versus clean LibriSpeech
aws_cloud,standard,en-US,clean_read,librispeech_test_clean_subset,0.003984063745,0,0,0,baseline clean LibriSpeech
aws_cloud,standard,en-US,harder_read,librispeech_test_other_subset,0.03550295858,0.03151889483,-1340.497996,0.9410720142,positive delta indicates degradation versus clean LibriSpeech
aws_cloud,standard,en-US,clean_read,mini_librispeech_dev_clean_2_subset,0.01744186047,0.01345779672,-1244.210055,0.5834514619,positive delta indicates degradation versus clean LibriSpeech
aws_cloud,standard,de-DE,multilingual_audiobook,mls_german_test_subset,0.03367003367,0.02968596993,-59.12064194,-0.9373992045,positive delta indicates degradation versus clean LibriSpeech
aws_cloud,standard,es-ES,multilingual_audiobook,mls_spanish_test_subset,0.03217158177,0.02818751802,880.6487367,-0.754700186,positive delta indicates degradation versus clean LibriSpeech
aws_cloud,standard,de-DE,far_field_plenary,voxpopuli_de_test_subset,0.08415841584,0.0801743521,946.1013293,-0.1118141827,positive delta indicates degradation versus clean LibriSpeech
aws_cloud,standard,en-US,far_field_plenary,voxpopuli_en_test_subset,0.03629032258,0.03230625884,-73.00882305,0.3797370875,positive delta indicates degradation versus clean LibriSpeech
aws_cloud,standard,es-ES,far_field_plenary,voxpopuli_es_test_subset,0.07331378299,0.06932971925,2193.441968,-0.497512014,positive delta indicates degradation versus clean LibriSpeech
azure_cloud,standard,en-US,crowdsourced_mobile,fleurs_en_us_test_subset,0.1148325359,0.1108484721,-2236.340601,-0.08975429405,positive delta indicates degradation versus clean LibriSpeech
azure_cloud,standard,fr-FR,crowdsourced_mobile,fleurs_fr_fr_test_subset,0.05508474576,0.05110068202,-2237.53781,-0.07570255845,positive delta indicates degradation versus clean LibriSpeech
azure_cloud,standard,ja-JP,crowdsourced_mobile,fleurs_ja_jp_test_subset,0.96875,0.9647659363,843.2400979,-0.09609850438,positive delta indicates degradation versus clean LibriSpeech
azure_cloud,standard,sk-SK,crowdsourced_mobile,fleurs_sk_sk_test_subset,0.08333333333,0.07934926959,-3265.582135,-0.06791355989,positive delta indicates degradation versus clean LibriSpeech
azure_cloud,standard,en-US,clean_read,librispeech_test_clean_subset,0.003984063745,0,0,0,baseline clean LibriSpeech
azure_cloud,standard,en-US,harder_read,librispeech_test_other_subset,0.07692307692,0.07293901318,-3793.525697,0.04365301233,positive delta indicates degradation versus clean LibriSpeech
azure_cloud,standard,en-US,clean_read,mini_librispeech_dev_clean_2_subset,0.02325581395,0.01927175021,-5603.437518,-0.0197909138,positive delta indicates degradation versus clean LibriSpeech
azure_cloud,standard,de-DE,multilingual_audiobook,mls_german_test_subset,0.5589225589,0.5549384952,-2977.855104,-0.2067165556,positive delta indicates degradation versus clean LibriSpeech
azure_cloud,standard,es-ES,multilingual_audiobook,mls_spanish_test_subset,0.1581769437,0.15419288,-1159.142649,-0.04256371758,positive delta indicates degradation versus clean LibriSpeech
azure_cloud,standard,de-DE,far_field_plenary,voxpopuli_de_test_subset,0.2772277228,0.273243659,-3416.293337,-0.03833354649,positive delta indicates degradation versus clean LibriSpeech
azure_cloud,standard,en-US,far_field_plenary,voxpopuli_en_test_subset,0.07258064516,0.06859658142,515.4003221,0.05618628208,positive delta indicates degradation versus clean LibriSpeech
azure_cloud,standard,es-ES,far_field_plenary,voxpopuli_es_test_subset,0.1612903226,0.1573062588,636.9925917,-0.02154020425,positive delta indicates degradation versus clean LibriSpeech
google_cloud,balanced,en-US,crowdsourced_mobile,fleurs_en_us_test_subset,0.1339712919,0.1140509731,9232.872761,0.1965832981,positive delta indicates degradation versus clean LibriSpeech
google_cloud,balanced,fr-FR,crowdsourced_mobile,fleurs_fr_fr_test_subset,0.08474576271,0.06482544399,848.7154464,0.06892929793,positive delta indicates degradation versus clean LibriSpeech
